"formtemplate","name","organization","description","schemavalue","lastmodifiedby","alias","lastmodifieddate","type","capability"
"NULL","ConfigItem","leo1311","NULL","[{""columntype"":""varchar"",""columnorder"":1,""recordcolumnname"":""ci_name"",""recordcolumndisplayname"":""Name"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":2,""recordcolumnname"":""cmdb_ci_sys_id"",""recordcolumndisplayname"":""cmdb_ci_sys_id"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":3,""recordcolumnname"":""status"",""recordcolumndisplayname"":""Status"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":4,""recordcolumnname"":""ctype"",""recordcolumndisplayname"":""Type"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":5,""recordcolumnname"":""iconName"",""recordcolumndisplayname"":""Icon"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":6,""recordcolumnname"":""uniqueId"",""recordcolumndisplayname"":""uniqueId"",""isunique"":true,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":7,""recordcolumnname"":""ctype_id"",""recordcolumndisplayname"":""ctype_id"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":8,""recordcolumnname"":""order_value"",""recordcolumndisplayname"":""order_value"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":9,""recordcolumnname"":""location"",""recordcolumndisplayname"":""Location"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""int"",""columnorder"":10,""recordcolumnname"":""alertCount"",""recordcolumndisplayname"":""#Alerts"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""int"",""columnorder"":11,""recordcolumnname"":""incidentsCount"",""recordcolumndisplayname"":""#Incidents"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true}]","admin","ConfigItem","2023-08-28T10:44:20.438212","KG","Node"
"NULL","ConfigItemRelation","leo1311","Edge Schema","[{""columntype"":""varchar"",""columnorder"":1,""recordcolumnname"":""ChildId"",""recordcolumndisplayname"":""ChildId"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":2,""recordcolumnname"":""RelationName"",""recordcolumndisplayname"":""RelationName"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":3,""recordcolumnname"":""ParentId"",""recordcolumndisplayname"":""ParentId"",""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":false},{""columntype"":""varchar"",""columnorder"":4,""recordcolumnname"":""uniqueId"",""recordcolumndisplayname"":""uniqueId"",""isunique"":true,""isrequired"":false,""isencrypted"":false,""isvisible"":false}]","admin","ConfigItemRelation","2023-08-28T10:51:41.529461","KG","Edge"
"NULL","AlertAndIncident","leo1311","NULL","[{""columntype"":""varchar"",""columnorder"":1,""recordcolumnname"":""uniqueId"",""recordcolumndisplayname"":""uniqueId"",""isprimarykey"":false,""isunique"":true,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":3,""recordcolumnname"":""sysId"",""recordcolumndisplayname"":""Id"",""isprimarykey"":false,""isunique"":false,""isrequired"":true,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":4,""recordcolumnname"":""type"",""recordcolumndisplayname"":""Type"",""isprimarykey"":false,""isunique"":false,""isrequired"":true,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":5,""recordcolumnname"":""number"",""recordcolumndisplayname"":""Name"",""isprimarykey"":false,""isunique"":false,""isrequired"":true,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":6,""recordcolumnname"":""location"",""recordcolumndisplayname"":""Location"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":7,""recordcolumnname"":""Description"",""recordcolumndisplayname"":""Description"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""datetime"",""columnorder"":8,""recordcolumnname"":""openedDate"",""recordcolumndisplayname"":""OpenedDate"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":9,""recordcolumnname"":""state"",""recordcolumndisplayname"":""State"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":10,""recordcolumnname"":""priority"",""recordcolumndisplayname"":""Priority"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true}]","admin","AlertAndIncident","2024-08-27T12:02:42.173833","KG","Node"
"NULL","Destinationwarehousemapping","leo1311","Edge Schema","[{""columntype"": ""varchar"",""columnorder"": 1,""recordcolumnname"": ""uniqueId"",""recordcolumndisplayname"": ""uniqueId"",""isunique"": true,""isrequired"": true,""isencrypted"": false,""isvisible"": true},{""columntype"": ""varchar"",""columnorder"": 2,""recordcolumnname"": ""WH_Address"",""recordcolumndisplayname"": ""WH_Address"",""isunique"": false,""isrequired"": false,""isencrypted"": false,""isvisible"": true},{""columntype"": ""varchar"",""columnorder"": 3,""recordcolumnname"": ""ArrivalPort"",""recordcolumndisplayname"": ""ArrivalPort"",""isprimarykey"": false,""isunique"": false, ""isrequired"": false,""isencrypted"": false,""isvisible"": false},{""columntype"": ""varchar"",""columnorder"": 4,""recordcolumnname"": ""DestinationCountry"",""recordcolumndisplayname"": ""DestinationCountry"",""isprimarykey"": false,""isunique"": false,""isrequired"": false,""isencrypted"": false,""isvisible"": false},{""columntype"": ""varchar"",""columnorder"": 5,""recordcolumnname"": ""OrderNumber"",""recordcolumndisplayname"": ""OrderNumber"",""isunique"": true,""isrequired"": true,""isencrypted"": false,""isvisible"": true}]","admin","Destinationwarehousemapping","2024-08-27T12:02:42.173833","KG","Edge"
"NULL","Origincarriermapping","leo1311","Edge Schema","[{""columntype"": ""varchar"",""columnorder"": 1,""recordcolumnname"": ""uniqueId"",""recordcolumndisplayname"": ""uniqueId"",""isunique"": true,""isrequired"": true,""isencrypted"": false,""isvisible"": true},{""columntype"": ""varchar"",""columnorder"": 2,""recordcolumnname"": ""CarrierName"",""recordcolumndisplayname"": ""CarrierName"",""isunique"": false,""isrequired"": false,""isencrypted"": false,""isvisible"": true},{""columntype"": ""varchar"",""columnorder"": 3,""recordcolumnname"": ""OriginPort"",""recordcolumndisplayname"": ""OriginPort"",""isprimarykey"": false,""isunique"": false, ""isrequired"": false,""isencrypted"": false,""isvisible"": false},{""columntype"": ""varchar"",""columnorder"": 4,""recordcolumnname"": ""OrderNumber"",""recordcolumndisplayname"": ""OrderNumber"",""isunique"": true,""isrequired"": true,""isencrypted"": false,""isvisible"": true}]","admin","Origincarriermapping","2024-08-27T12:02:42.173833","KG","Edge"
"NULL","Variant","leo1311","","[{""columntype"": ""varchar"",""columnorder"": 1,""recordcolumnname"": ""uniqueId"",""recordcolumndisplayname"": ""uniqueId"",""isunique"": true,""isrequired"": true,""isencrypted"": false,""isvisible"": true},{""columntype"": ""varchar"",""columnorder"": 2,""recordcolumnname"": ""VariantId"",""recordcolumndisplayname"": ""VariantId"",""isunique"": false,""isrequired"": false,""isencrypted"": false,""isvisible"": true}]","admin","Origincarriermapping","2024-08-27T12:02:42.173833","KG","Node"
"NULL","LEOJBTNS50961","leo1311","EdgeSchema","[{""columntype"":""varchar"",""columnorder"":1,""recordcolumnname"":""uniqueId"",""recordcolumndisplayname"":""uniqueId"",""isprimarykey"":false,""isunique"":true,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":2,""recordcolumnname"":""jobId"",""recordcolumndisplayname"":""jobId"",""isprimarykey"":false,""isunique"":false,""isrequired"":true,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":3,""recordcolumnname"":""jobInstanceId"",""recordcolumndisplayname"":""jobInstanceId"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true}]","admin","jobtoinstancemapping","2024-08-16T10:22:19.900012","KG","Edge"
"NULL","LEOINSTN34299","leo1311","EdgeSchema","[{""columntype"":""varchar"",""columnorder"":1,""recordcolumnname"":""uniqueId"",""recordcolumndisplayname"":""uniqueId"",""isprimarykey"":false,""isunique"":true,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":2,""recordcolumnname"":""groupId"",""recordcolumndisplayname"":""groupId"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true},{""columntype"":""varchar"",""columnorder"":3,""recordcolumnname"":""jobInstanceId"",""recordcolumndisplayname"":""jobInstanceId"",""isprimarykey"":false,""isunique"":false,""isrequired"":false,""isencrypted"":false,""isvisible"":true}]","admin","instancetoGroupMapping","2024-08-16T10:21:57.948920","KG","Edge"




 