"entity","entity_type","model_group","organization"
"Roster Keywords","schema","Leap","leo1311"
"Roster Ticket Weightage","schema","Leap","leo1311"
"Roster Tickets","schema","Leap","leo1311"
"Shift Details","schema","Leap","leo1311"

"LEORSTRS30124","pipeline","Leap","leo1311"
"LEORSTRS62652","pipeline","Leap","leo1311"
"LEORSTRS86577","pipeline","Leap","leo1311"
"LEOASGND51842","dataset","Leap","leo1311"
"LEOWGHTG31564","dataset","Leap","leo1311"
"LEOCLSFD44591","dataset","Leap","leo1311"
"LEONWDMP53855","dataset","Leap","leo1311"
"LEORSTRD52374","dataset","Leap","leo1311"
"LEOUNSGN96999","dataset","Leap","leo1311"
"LEOTCKTS56442","pipeline","Leap","leo1311"
"LEORSTRD13362","dataset","Leap","leo1311"
"LEORSTRD75225","dataset","Leap","leo1311"
"User Availability","schema","Leap","leo1311"
"Priority Weightage","schema","Leap","leo1311"
"Shift Timings","schema","Leap","leo1311"
"LEOCRNTS36929","pipeline","Leap","leo1311"
"LEONXTSH40788","pipeline","Leap","leo1311"
"LEONXTSH17485","dataset","Leap","leo1311"
"LEOCRNTS39013","dataset","Leap","leo1311"