"id","project_id","color","created_by","created_on","is_deleted","modified_by","modified_on","series_name","palette_config"
"15139","2","#7b39b1","NULL","NULL","false","NULL","NULL","NULL","3698"
"15140","2","#9643db","NULL","NULL","false","NULL","NULL","PERFORMANCE","3695"
"15141","2","#c992f6","NULL","NULL","false","NULL","NULL","AVAILABILITY","3695"
"15142","2","#9e4ae3","NULL","NULL","false","NULL","NULL","ERROR","3695"
"15143","2","#770ccf","NULL","NULL","false","NULL","NULL","RESOURCE_CONTENTION","3695"
"15144","2","#7b39b1","NULL","NULL","false","NULL","NULL","-default-","3695"
"15149","2","#9f45e8","NULL","NULL","false","NULL","NULL","SERVICES","3696"
"15150","2","#b973f2","NULL","NULL","false","NULL","NULL","APPLICATION","3696"
"15151","2","#802ac6","NULL","NULL","false","NULL","NULL","INFRASTRUCTURE","3696"
"15152","2","#a464d8","NULL","NULL","false","NULL","NULL","-default-","3696"
"15156","2","#d21414","NULL","NULL","false","NULL","NULL","Open","3697"
"15157","2","#7b39b1","NULL","NULL","false","NULL","NULL","Closed","3697"
"15158","2","#000000","NULL","NULL","false","NULL","NULL","-default-","3697"